User ID,Text,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color,Created At,Hour,Sleep Time
560240587778318336,I wish I could get over this flu It s been a week already give me a break,Carmen R,Carmen R,666666,2FC2EF,252429,181A1E,1A1B1F,Tue Nov 25 21:08:19 +0000 2008,21,0
560240737644605441,Flu shot hoax admitted No controlled trials demonstrating a decrease in influenza News,The Daily Rapid,dailyrapid,333333,2FC2EF,FFFFFF,FFFFFF,1A1B1F,Thu Apr 01 19:00:44 +0000 2010,19,0
560240783002189824,David Spellman CatholicLisa Seriously Like don t we all get colds and flu,Susan Kostal,skostal,333333,038544,F6F6F6,FFFFFF,ACDED6,Thu Jan 29 00:11:35 +0000 2009,00,1
560240936718835713,solesodef shows of his 96 OG Bred 11s amp 98 OG Bred 13s w his retro Flu Game 12s Follow solesodef for more heat,Sneaker Shouts,SneakerShouts,333333,0084B4,DDEEF6,C0DEED,C0DEED,Thu Nov 15 01:17:15 +0000 2012,01,1
560240996701569024,A widespread epidemic of a flu strain called H3N2 has broken out in Helena Newsforyou,KTVH KBGF,KTVH KBGF,333333,0084B4,C0DFEC,A8C7F7,022330,Thu Oct 01 23:27:17 +0000 2009,23,0
560241006130376704,A widespread epidemic of a flu strain called H3N2 has broken out in Helena Newsforyou,KTVH KBGF,KTVH KBGF,333333,0084B4,C0DFEC,A8C7F7,022330,Thu Oct 01 23:27:17 +0000 2009,23,0
560241053127544832,RT JanineKTVU Santa Clara Co Health Dept reports 1st flu death of season Person under 65 didn t get flu vaccine or have risk factors K,,zizouis,333333,9266CC,DDEEF6,000000,9266CC,Tue Mar 06 02:34:48 +0000 2012,02,1
560241126058115072,phat gator Yo I feel you My grandfather has lung cancer and one lung and recently contracted the flu Well wishes to your grandma tho,Der berhund,dumb doge,333333,FFCC4D,EFEFEF,FFFFFF,282828,Fri Sep 24 16:32:06 +0000 2010,16,0
560241234758103040,Learn 10 All Natural Ways To Battle the Flu Click here pureandsimple healing allnatural,Dawn Fitch,pookalita,4C0B0B,990000,F3F3F3,DFDFDF,EBE7C1,Tue Aug 12 13:36:31 +0000 2008,13,0
560241295386767360,First Flu Death In 2015 Logged In Santa Clara County,Los Gatos CA Patch,GatosPatch,333333,93A644,FFFFFF,EEEEEE,B2DFDA,Fri Nov 12 16:25:49 +0000 2010,16,0
